Id Spotter,CNPJ,Razão Social,Status,Data base,Data churn,LT (Meses),MRR Inicial,MRR Total (Atual),Spotter (R$),Comunicação (R$),Searching (R$),Exact Club (R$),Nº de Funcionarios Linkedin (Sobre),Nº funcionarios Conectados Linkedin,Link do LinkedIn,Porte (ajustado),Porte da Empresa segundo Receita Federal,Porte da Empresa segundo base de dados do Searching,Mercado,Sub setor,Leads em entrada,Agendamentos,Vendas,Cadencia ativa,Workflow ativo,Atividades concluidas,Numero de usuáros,Integração Inbound,Integração CRM,Minutos telefonia,Origem,Upsell (Sim / Não),Upsell (Nº),Upsell (R$),Downsell (Sim/Não),Downsell (Nº),Downsell (R$),Tipo de contrato,CNPJ
12394,42.325.592/0001-61,BRL DESENVOLVIMENTO E TREINAMENTO LTDA,Ativo,01/07/2022,,4,699,881,881,0,0,,11-50,21,https://www.linkedin.com/company/doisellis/?originalSubdomain=br,Small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,0,17,0,0,8,"135,5",7,,PipeDrive,0,CoMKTConteúdo,Sim,1,182,,,,ANUAL,42325592000161
12398,11.267.461/0001-41,HORIZONTE TECNOLOGIA EDUCACIONAL LTDA.,Ativo,01/07/2022,,4,"1007,9","1153,38","904,48","248,9",0,,11-50,48,https://www.linkedin.com/company/impulseup/,Small,ME,ME,"Software - Serviços administrativos (financeiro, contábil, RH, jurídico, monitoramento e segurança)",,"202,75",1,0,2,20,604,12,RDStation,,"279,25",EventodeTerceiros,Sim,1,"189,75",,,,SEMESTRAL,11267461000141
12445,10.961.528/0001-80,MAXIMIZA DF ADMINISTRACAO E CORRETAGEM DE SEGUROS EIRELI,Ativo,01/07/2022,,4,"1106,9","1106,9",759,"148,9",199,,11-50,18,https://www.linkedin.com/company/maximiza-corretora-de-seguros/,Small,EPP,ME,Serviços - Corretoras de seguro e seguradoras,,0,1,0,2,8,152,9,,,175,BDR,Não,0,0,,,,SEMESTRAL,10961528000180
12532,15.034.470/0001-43,ZAHI CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Ativo,01/08/2022,,3,"4225,9","4225,9",699,"526,9",0,3000,11-50,5,https://www.linkedin.com/company/zahi/about/,Small,ME,ME,Software - Gestão Empresarial (ERP),,0,0,"13,5",0,4,430,10,,,643,Indicação,Não,0,0,,,,ANUAL,15034470000143
12571,21.564.147/0001-84,LONGEVITTA CENTRO GERIATRICO LTDA,Ativo,01/08/2022,,3,759,759,759,0,0,,51-200,14,https://www.linkedin.com/company/grupo-altevita,Middle,DEMAIS,DEM,Serviços - Turismo e Hospedagem,,0,25,0,0,16,"148,5",7,,,204,Anúncio,Não,0,0,,,,SEMESTRAL,21564147000184
12664,02.335.970/0001-73,WEBSIS TECNOLOGIA E SISTEMAS LTDA,Ativo,01/09/2022,,2,1057,1057,759,99,199,,51-200,73,https://www.linkedin.com/company/websis-tecnologia/about/,Middle,ME,GE,"Serviços - Desenvolvimento de softwares, sistemas e apps",,1,0,0,0,10,2,6,,,58,BDR,Não,0,0,,,,SEMESTRAL,2335970000173
12672,11.359.761/0001-50,HOOGLI HUB DE RESULTADOS LTDA,Ativo,01/09/2022,,2,759,759,759,0,0,,11-50,25,https://br.linkedin.com/company/hooglimkt/about,Small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,0,0,0,0,18,0,7,,,0,ListasAtivas,Não,0,0,,,,SEMESTRAL,11359761000150
11653,26.262.561/0001-52,ATIVA DISTRIBUICAO COMERCIO SERVICOS IMPORTACAO E EXPOIMENTOS DE INFORMATICA E IMPRESSAO LTDA,Churn,01/12/2021,30/11/2022,11,"1276,9","1276,9",759,"248,9",269,,11-50,32,https://br.linkedin.com/company/ativa-distribui%C3%A7%C3%A3o,Small,DEMAIS,EPP,"Serviços - Logística, transporte, armazenagem e distribuição de mercadorias",,0,0,3,0,2,"1,5",5,,,0,ListasAtivas,Não,0,0,,,,SEMESTRAL,26262561000152
11727,00.712.911/0001-41,CONDONAL SERVICOS E ADMINISTRACAO LTDA,Ativo,01/01/2022,,10,1144,1144,796,199,149,,Não Tem,Não Tem,Não Tem,Big,DEMAIS,GE,Serviços - Administrativos e serviços complementares,,0,"5,625",1,0,2,18,9,,,"68,14285714",ListasAtivas,Não,0,0,,,,MENSAL,712911000141
11816,31.812.571/0001-54,J.C.FAQUERES & CIA LTDA,Ativo,01/02/2022,,9,1144,1144,796,199,149,,Não Tem,Não Tem,Não Tem,Very Small,ME,EPP,Gás e Energia,,0,"8,5","3,5",1,16,"986,8571429",5,,,"340,625",ListasAtivas,Não,0,0,,,,MENSAL,31812571000154
11913,20.382.876/0001-57,INVICTA INVESTIMENTOS - AGENTE AUTONOMO DE INVESTIMENTOS LTDA,Churn,01/03/2022,05/09/2022,6,1396,1396,,,,,2-10,9,https://www.linkedin.com/company/invictainvestimentos/about/,Very small,ME,ME,"Serviços - Financeiro, seguros, previdência complementar e planos de saúde",,0,4,4,0,6,11,12,RDStation,,18,Site,Não,0,0,,,,SEMESTRAL,20382876000157
12108,11.673.813/0001-69,INNET SOLUCOES LTDA,Churn,01/04/2022,27/07/2022,3,845,845,,,,,2-10,8,https://www.linkedin.com/company/innet-solu-es/about/,Very small,ME,ME,Software - Gestão Empresarial (ERP),,0,6,"11,5",1,6,40,4,,,"2,5",CoMKTConteúdo,Não,0,0,,,,ANUAL,11673813000169
