cnpj,data_base,mes,logo
00810559000187,2015-06-01,43,1
00810559000187,2015-06-01,44,1
00810559000187,2015-06-01,45,1
00810559000187,2015-06-01,46,1
00810559000187,2015-06-01,47,1
00810559000187,2015-06-01,48,1
00810559000187,2015-06-01,49,1
00810559000187,2015-06-01,50,1
00810559000187,2015-06-01,51,1
00810559000187,2015-06-01,52,1
00810559000187,2015-06-01,53,1
00810559000187,2015-06-01,54,1
00810559000187,2015-06-01,55,1
00810559000187,2015-06-01,56,1
00810559000187,2015-06-01,57,1
00810559000187,2015-06-01,58,1
00810559000187,2015-06-01,59,1
00810559000187,2015-06-01,60,1
00810559000187,2015-06-01,61,1
00810559000187,2015-06-01,62,1
00810559000187,2015-06-01,63,1
00810559000187,2015-06-01,64,1
00810559000187,2015-06-01,65,1
00810559000187,2015-06-01,66,1
00810559000187,2015-06-01,67,1
00810559000187,2015-06-01,68,1
00810559000187,2015-06-01,69,1
00810559000187,2015-06-01,70,1
00810559000187,2015-06-01,71,1
00810559000187,2015-06-01,72,1
00810559000187,2015-06-01,73,1
00810559000187,2015-06-01,74,1
00810559000187,2015-06-01,75,1
00810559000187,2015-06-01,76,1
00810559000187,2015-06-01,77,1
00810559000187,2015-06-01,78,1
00810559000187,2015-06-01,79,1
00810559000187,2015-06-01,80,1
00810559000187,2015-06-01,81,1
00810559000187,2015-06-01,82,1
00810559000187,2015-06-01,83,1
00810559000187,2015-06-01,84,1
00810559000187,2015-06-01,85,1
00810559000187,2015-06-01,86,1
00810559000187,2015-06-01,87,1
00810559000187,2015-06-01,88,1
00810559000187,2015-06-01,89,1
00810559000187,2015-06-01,90,1
00823358000114,2020-12-01,1,1
00823358000114,2020-12-01,2,1
00823358000114,2020-12-01,3,1
00823358000114,2020-12-01,4,1
00823358000114,2020-12-01,5,1
00830204000150,2022-10-01,1,1
00834971000137,2021-06-01,1,1
00834971000137,2021-06-01,2,1
00834971000137,2021-06-01,3,1
00834971000137,2021-06-01,4,1
00834971000137,2021-06-01,5,1
00834971000137,2021-06-01,6,1
00834971000137,2021-06-01,7,1
00834971000137,2021-06-01,8,1
00834971000137,2021-06-01,9,1
00846686000136,2022-03-01,1,1
00846686000136,2022-03-01,2,1
00846686000136,2022-03-01,3,1
00846686000136,2022-03-01,4,1
00846686000136,2022-03-01,5,1
00846686000136,2022-03-01,6,1
00851124000180,2021-05-01,1,1
00851124000180,2021-05-01,2,1
00851124000180,2021-05-01,3,1
00851124000180,2021-05-01,4,1
00851124000180,2021-05-01,5,1
00851124000180,2021-05-01,6,1
00869830000150,2017-12-01,1,1
00869830000150,2017-12-01,2,1
00869830000150,2017-12-01,3,1
00869830000150,2017-12-01,4,1
00869830000150,2017-12-01,5,1
00869830000150,2017-12-01,6,1
00869830000150,2017-12-01,7,1
00869830000150,2017-12-01,8,1
00869830000150,2017-12-01,9,1
00869830000150,2017-12-01,10,1
00869830000150,2017-12-01,11,1
00869830000150,2017-12-01,12,1
00869830000150,2017-12-01,13,1
00884713000165,2020-05-01,1,1
00884713000165,2020-05-01,2,1
00884713000165,2020-05-01,3,1
00884713000165,2020-05-01,4,1
00884713000165,2020-05-01,5,1
00884713000165,2020-05-01,6,1
00884713000165,2020-05-01,7,1
00884713000165,2020-05-01,8,1
00884713000165,2020-05-01,9,1
00884713000165,2020-05-01,10,1
00884713000165,2020-05-01,11,1
00884713000165,2020-05-01,12,1
00884713000165,2020-05-01,13,1
00884713000165,2020-05-01,14,1
00884713000165,2020-05-01,15,1
00884713000165,2020-05-01,16,1
00884713000165,2020-05-01,17,1
00884713000165,2020-05-01,18,1
00884713000165,2020-05-01,19,1
00884713000165,2020-05-01,20,1
00884713000165,2020-05-01,21,1
00884713000165,2020-05-01,22,1
